species,JENKINS_SPGRPCD,type,WDSG
864,8,H,0.52
6697,8,H,0.7
6700,8,H,0.52
5559,8,H,0.52
6702,8,H,0.8
6703,8,H,0.34
6705,8,H,0.52
6706,8,H,0.52
867,10,H,0.52
987,8,H,0.52
6710,8,H,0.52
6711,8,H,0.52
6712,8,H,0.52
6714,8,H,0.52
6716,8,H,0.48
6717,8,H,0.719
6718,8,H,0.719
6719,8,H,0.719
6720,8,H,0.719
6721,8,H,0.48
6722,8,H,0.48
6726,8,H,0.719
6728,8,H,0.52
8651,8,H,0.52
6730,8,H,0.52
6731,8,H,0.52
6733,8,H,0.38
6735,8,H,0.52
6736,8,H,0.474
6737,8,H,0.52
6738,8,H,0.52
6739,8,H,0.52
865,8,H,0.52
6742,8,H,0.48216
6743,8,H,0.52
6744,8,H,0.5
6751,8,H,0.84636
6752,8,H,0.7204
6748,8,H,0.61
491,8,H,0.64
5591,8,H,0.61
492,8,H,0.58
6746,8,H,0.52
6747,8,H,0.52
5599,8,H,0.52
5600,8,H,0.55
6749,8,H,0.84636
6750,8,H,0.52
6754,8,H,0.59409
503,8,H,0.52
504,8,H,0.52
5603,8,H,0.52
996,8,H,0.52
6756,8,H,0.52
505,8,H,0.52
5091,8,H,0.52
501,8,H,0.52
506,8,H,0.52
507,8,H,0.52
502,8,H,0.52
508,8,H,0.52
509,8,H,0.52
6760,8,H,0.71
6761,8,H,0.52
6762,8,H,0.52
6763,8,H,0.52
5092,8,H,0.52
5093,8,H,0.52
6758,8,H,0.4305
6765,8,H,0.52
6767,8,H,0.52
6771,8,H,0.674
6773,8,H,0.52
6774,8,H,0.52
6775,8,H,0.52
6781,8,H,0.5756
6786,4,S,0.41
5776,8,H,0.52
6788,4,S,0.41
6790,8,H,0.52
6792,8,H,0.52
866,8,H,0.52
5800,1,S,0.41
51,1,S,0.41
52,1,S,0.41
53,1,S,0.41
6795,4,S,0.41
56,1,S,0.41
54,1,S,0.41
55,1,S,0.41
6796,4,S,0.41
6800,8,H,0.5
6801,8,H,0.52
6802,8,H,0.5
6805,8,H,0.5
6806,8,H,0.5
6807,8,H,0.5
6810,8,H,0.5
6811,8,H,0.5
6812,8,H,0.5
6813,8,H,0.5
6814,8,H,0.5
6815,8,H,0.5
6818,8,H,0.5
6819,8,H,0.5
6822,8,H,0.5
6823,8,H,0.5
6824,8,H,0.5
6825,8,H,0.5
6826,8,H,0.5
6827,8,H,0.5
6829,8,H,0.5
6830,8,H,0.5
6833,8,H,0.5
6834,8,H,0.52
6835,8,H,0.52
6837,8,H,0.58
6839,8,H,0.52
6840,8,H,0.5
6842,8,H,0.5
6843,8,H,0.52
6844,8,H,0.5
6848,8,H,0.52
6850,8,H,0.52
6852,8,H,0.52
6853,8,H,0.5
5818,8,H,0.52
6857,8,H,0.52
6858,8,H,0.73
6860,8,H,0.44
6862,8,H,0.52
6865,8,H,0.5
6864,8,H,0.5
6867,8,H,0.52
6869,8,H,0.52
6870,8,H,0.52
6871,8,H,0.52
6872,8,H,0.52
6873,8,H,0.52
6875,8,H,0.5
6876,8,H,0.5
6877,8,H,0.5
6880,8,H,0.5
6882,8,H,0.5
6883,8,H,0.52
6886,8,H,0.20664
6888,8,H,0.52
6889,8,H,0.52
6896,8,H,0.52
6898,8,H,0.45
6899,8,H,0.52
6900,8,H,0.88
6902,8,H,0.74
6903,8,H,0.7
6904,8,H,0.7
6905,8,H,0.98
6906,8,H,0.7
6907,8,H,0.64
6909,8,H,0.52
6911,8,H,0.74
6912,8,H,0.52
522,10,H,0.64
521,8,H,0.64
6923,8,H,0.52
6927,8,H,0.52
6928,8,H,0.32
6930,8,H,0.52
6932,8,H,0.52
6933,8,H,0.41328
6934,8,H,0.52
6968,8,H,0.58
6937,8,H,0.52
6936,8,H,0.715
6938,8,H,0.52
6939,8,H,0.52
6940,8,H,0.52
6941,8,H,0.71463
6947,8,H,0.65
6948,8,H,0.65
6952,8,H,0.65
6953,8,H,0.65
6957,8,H,0.65
6944,8,H,0.65
604,8,H,0.44
601,8,H,0.36
603,8,H,0.44
7495,8,H,0.52
606,8,H,0.44
605,8,H,0.44
602,8,H,0.51
7496,8,H,0.44
61,10,S,0.45
62,10,S,0.45
7489,1,S,0.45
59,10,S,0.45
63,10,S,0.48
60,10,S,0.45
69,10,S,0.45
64,1,S,0.45
65,10,S,0.68
58,10,S,0.45
66,10,S,0.45
68,1,S,0.44
7497,8,H,0.65
7499,8,H,0.52
7501,8,H,0.52
7503,8,H,0.52
7506,8,H,0.52
7508,8,H,0.52
7507,8,H,0.52
7515,8,H,0.52
7509,8,H,0.48302
7510,8,H,0.48302
7511,8,H,0.48302
7512,8,H,0.48302
7514,8,H,0.52
7516,8,H,0.772
7518,8,H,0.64575
7519,8,H,0.64575
7520,8,H,0.64575
7521,8,H,0.64575
7522,8,H,0.64575
7524,8,H,0.64575
7528,8,H,0.64575
7529,8,H,0.64575
7531,8,H,0.52
7530,8,H,0.52
7532,10,H,0.52
7533,8,H,0.52
988,8,H,0.52
7539,8,H,0.68
7541,8,H,0.52
6212,1,S,0.49
74,1,S,0.49
71,1,S,0.49
72,1,S,0.49
73,1,S,0.48
75,1,S,0.49
7550,8,H,0.52
7552,8,H,0.52
7556,8,H,0.52
7558,8,H,0.82
7559,8,H,0.82
7560,8,H,0.82
7561,8,H,1.026
7564,8,H,0.6
7565,8,H,0.52
869,8,H,0.52
7567,8,H,0.52
7569,8,H,0.52
7570,8,H,0.52
7573,8,H,0.52
7574,8,H,0.52
7577,10,H,0.55
7578,10,H,0.55
7579,10,H,0.56826
7575,10,H,0.56826
7580,8,H,0.52
6234,8,H,0.52
7571,8,H,0.46
611,8,H,0.46
621,8,H,0.4
7583,8,H,0.81795
631,8,H,0.58
7588,8,H,0.71
7590,8,H,0.52
7591,8,H,0.52
7592,8,H,0.52
7593,10,H,0.52
7595,8,H,0.52
7602,8,H,0.67
7606,8,H,0.52
7598,8,H,0.68705
7600,8,H,0.52
7608,8,H,0.52
884,8,H,0.52
7614,8,H,0.58
7617,8,H,0.58
7618,8,H,0.33
7621,8,H,0.27
7626,8,H,0.43
7627,8,H,0.33
7628,8,H,0.52
7630,8,H,0.52
641,8,H,0.76
7632,8,H,0.52
7643,8,H,0.52
7644,8,H,0.52
7645,8,H,0.52
7646,8,H,0.52
7647,8,H,0.52
7648,8,H,0.52
662,8,H,0.61
7633,8,H,0.52
651,8,H,0.44
655,8,H,0.4
652,8,H,0.46
654,8,H,0.43
7635,8,H,0.52
657,8,H,0.43
7637,8,H,0.43
7636,8,H,0.52
7631,8,H,0.43
658,8,H,0.43
653,8,H,0.42
7634,8,H,0.43
7638,8,H,0.49
7639,8,H,0.56
7642,8,H,0.49
7649,8,H,0.61
663,8,H,0.61
7650,8,H,0.61
661,8,H,0.61
664,8,H,0.61
7651,8,H,0.61
7652,8,H,0.52
7654,8,H,0.64543
885,8,H,0.52
7658,8,H,0.45
7660,8,H,0.48216
7662,8,H,0.52
7667,8,H,0.52
7669,8,H,0.52
7672,8,H,0.87
7673,8,H,0.52
7674,8,H,0.52
7677,8,H,0.52
