SPCD,DIVISION,STDORGCD,model,a,b,c
650,,,1,0.004136564,1.918199306,0.938705552
651,M220,,1,0.002844525,1.959348673,0.999083389
651,,,1,0.00299638,1.904383145,1.022750618
652,,,1,0.004136564,1.913499852,0.938705552
653,230,,1,0.005928715,1.816808153,0.907427832
653,,,1,0.005928715,1.816808153,0.907427832
680,,,1,0.004136564,1.869881333,0.938705552
691,230,,1,0.007084224,1.612310046,0.966564943
691,,,1,0.007084224,1.612310046,0.966564943
693,220,,1,0.003822985,1.92503292,0.948377298
693,230,,1,0.005971718,1.92633394,0.837521814
693,M220,,1,0.006480692,2.0345238,0.762108713
693,,,1,0.005364352,1.998985031,0.825343812
694,230,,1,0.004228661,1.792535449,1.014926499
694,,,1,0.004228661,1.792535449,1.014926499
701,,,1,0.004136564,1.911597499,0.938705552
711,,,1,0.004136564,1.906718368,0.938705552
731,230,,1,0.003494164,1.765526388,1.042633785
731,,,1,0.002851339,1.798190636,1.069262219
740,130,,1,0.01441997,2.164447673,0.493910351
740,M330,,1,0.004194352,1.998235959,0.903189408
740,,,1,0.009178468,2.048074268,0.68463498
741,130,,1,0.002502419,1.949786475,1.031798421
741,210,,1,0.00182577,1.981237724,1.104575579
741,,,1,0.002441671,1.966780911,1.0330767
742,,,1,0.012128942,1.905478714,0.689579446
743,130,,1,0.004694485,1.997498559,0.864393707
743,210,,1,0.003416941,1.927849408,0.980948986
743,,,1,0.003254273,1.937508036,0.986600749
745,,,1,0.003580418,1.936144106,0.948525833
746,130,,1,0.002616107,1.907274838,1.056251051
746,210,,1,0.003515501,1.969814891,0.953244474
746,220,,1,0.004361206,1.926071599,0.934694175
746,M130,,1,0.003096477,1.874113932,1.027536359
746,M330,,1,0.00305041,1.931195482,1.011457459
746,,,1,0.002994602,1.925780697,1.015415137
762,210,,1,0.002792323,1.690987376,1.172232143
762,220,,1,0.004701421,1.95676527,0.87786469
762,230,,1,0.004027255,1.89123732,0.94450462
762,M220,,1,0.002406927,1.864902876,1.094742553
762,,,1,0.002913225,1.809920849,1.08410758
800,230,,1,0.005124362,1.910991064,0.890474002
800,,,1,0.005124362,1.910991064,0.890474002
802,210,,1,0.002576286,1.706547687,1.176841845
802,220,,1,0.005315643,1.879560072,0.906855173
802,230,,1,0.002625329,1.822848096,1.098350633
802,M220,,1,0.003504074,1.821357965,1.031766699
802,M230,,1,0.005016765,1.982744424,0.852148285
802,,,1,0.00331324,1.835342513,1.038102224
804,,,1,0.004521469,1.931648071,0.904020368
806,220,,1,0.004616612,1.891378906,0.938755222
806,230,,1,0.003111966,1.824529901,1.059305976
806,M220,,1,0.004333976,1.895194674,0.940149522
806,,,1,0.003713063,1.865722246,0.996038718
809,,,1,0.004521469,1.940514725,0.904020368
812,230,,1,0.003074328,1.831376443,1.048346277
812,,,1,0.002959399,1.83998861,1.052552075
813,230,,1,0.004244128,1.895337493,0.935289456
813,,,1,0.004337408,1.906470728,0.924209788
817,,,1,0.004521469,1.922876247,0.904020368
820,230,,1,0.005793891,1.814586857,0.911356863
820,,,1,0.005786453,1.814953039,0.911396731
822,230,,1,0.002711331,1.848969699,1.055694473
822,,,1,0.002711331,1.848969699,1.055694473
823,,,1,0.004521469,1.934361639,0.904020368
825,230,,1,0.002063504,1.706281426,1.220242544
825,,,1,0.002169753,1.713752334,1.203896763
826,,,1,0.004521469,1.933271407,0.904020368
827,230,,1,0.003477238,1.814628386,1.029246188
827,,,1,0.003477238,1.814628386,1.029246188
828,230,,1,0.00330676,1.857287241,1.011548218
828,,,1,0.00330676,1.857287241,1.011548218
830,,,1,0.004521469,1.924182892,0.904020368
831,230,,1,0.003969364,1.795319209,1.005591999
831,,,1,0.004000352,1.793101758,1.005849332
832,220,,1,0.004505778,1.836408384,0.970938774
832,230,,1,0.003303257,1.823444357,1.045540017
832,M220,,1,0.004006893,1.884809708,0.961738196
832,,,1,0.003859979,1.864705509,0.984351291
833,210,,1,0.004403951,1.786709874,1.010940855
833,220,,1,0.0025762,1.844380218,1.091406271
833,230,,1,0.00347,1.855667823,1.009757403
833,M220,,1,0.003877007,1.841559836,0.991762604
833,,,1,0.003818704,1.840774468,1.000394455
834,,,1,0.004521469,1.919133091,0.904020368
835,220,,1,0.003396549,1.892529495,1.00141837
